chunk_id,doc_title,section,page_start,page_end,text,source_url
sbdc-tx rd 3.2.08-p001-c01,Texas Roadmap to Starting a Business (SBDC),,1,1,The Feasibility Study The Business Plan Cash Flow Requirements Legal Issues Permits Employee & Contract Labor Financing Options Tax Responsibilities Texas Roadmap to Starting a Business,
sbdc-tx rd 3.2.08-p002-c01,Texas Roadmap to Starting a Business (SBDC),,2,2,"TEXAS ROAD MAP TO STARTING A BUSINESS The Texas Road Map to Starting a Business contains directions to get your business off the ground and help strengthen our state economy along the way. This booklet covers eight steps to starting a new business: TABLE OF CONTENTS CHAPTER 1: T HE FEASIBILITY STUDY ................................................................................ PAGE 2 CHAPTER 2: T HE BUSINESS PLAN ................................................................................... PAGE 17 CHAPTER 3: C ASH FLOW REQUIREMENTS ........................................................................ PAGE 28 CHAPTER 4: L EGAL ISSUES ............................................................................................. PAGE 32 CHAPTER 5: P ERMITS ..................................................................................................... PAGE 37 CHAPTER 6: E MPLOYEE AND CONTRACT LABOR ............................................................... PAGE 40 CHAPTER 7: F INANCING OPTIONS .................................................................................... PAGE 43 CHAPTER 8: T AX RESPONSIBILITIES ................................................................................. PAGE 47 It is important that you follow the directions found on the first page. Start at the begin- ning and work your way from chapter to chapter. Do not jump ahead or skip chapters. When you finish, you will have completed the background work necessary for starting a business. While every effort has been made to ensure the reliability of the information presented in this publication, the publisher does not guarantee the accuracy of the data contained herein. Errors brought to the attention of the publisher and verified to the satisfaction of the publisher will be corrected in the future editions. 1",
sbdc-tx rd 3.2.08-p003-c01,Texas Roadmap to Starting a Business (SBDC),,3,3,"Chapter 1: The Feasibility Study Chapter 1: The Feasibility Study The first step on your road to starting a business is the feasibility study. This first step helps you, the prospective business owner, determine the practi- cality and viability of your business idea. After completing the feasibility study, you will have an indication of market opportunity and growth potential. You want this information now, before you risk valuable time and money. The feasibility study can help you analyze the possible risks and rewards of your concept and increase the probability of your success. During this exercise you will gather information on current economic conditions and the state of the industry in which you want to start a business. You will conduct a detailed analysis of your competitors and potential customers. After you have gathered this information, you will be able to decide if your idea is worthy of more time and money. Overview—The Feasibility Study The feasibility study helps you examine your ideas objectively from several viewpoints. The flow chart below indicates the process you will follow. Every feasibility study begins with an idea. This idea can be for a product or service. A market analysis, which thoroughly investigates the indus- try, competition, economic environment and target markets, will help you decide if the idea can become a profitable business. This exercise also helps you make an informed decision by identify- ing the requirements for starting a particular The Feasibility Process Idea Market Analysis Requirements Decision Go Business Plan Definition Industry Experience/Knowledge No Competition Objectives Market Time Re-evaluate Legal Financing 2",
sbdc-tx rd 3.2.08-p004-c01,Texas Roadmap to Starting a Business (SBDC),,4,4,"business, such as experience, time, and legal and funding issues. A feasibility study can take weeks or even months to complete, but the process puts you at an advantage and increases your chances for success. If you move forward and start your business, the feasibility study will serve as the basis from which to develop a comprehensive business plan. If you decide to put your venture plans on hold, you can apply the knowledge to other possible ventures, or it could prompt you to adjust or re-evaluate your original idea. Your Idea: Defining Your Business Your first step is to define your business idea and the opportunity you envision. Include a descrip- tion of the product or service you will provide, your reasons for starting the venture and the type of business you plan to establish (for example, manufacturing, wholesaling, retailing, exporting/ importing or service). Consider these areas, when writing a working definition of your business. Customer Viewpoint: You must adopt your customers’ viewpoint because if you fail to satisfy your customers’ needs, your business will fail. Briefly describe the products/services you will sell and how customers will use them. Ask potential customers, how they would define your product or service. Their perspective can give you important insight into how your product or service will actually be used. Keep an open mind. If someone uses your product/ service in a new way, it may be a benefit you can add to your marketing strategy. Product/Service: Specify the line of product or service you will offer and look for secondary opportunities. For example, are there services you can provide in association with your prod- uct, or are there products that result from the service you will provide? Customers: Describe your typical customer in terms such as age, sex, income, education, occupation, marital status and lifestyle. What needs will your product or service satisfy? What benefits will your customers gain from using your product or service? What results will your customers achieve from having purchased your product or service? Remember, customers buy based on benefits and results, not product specifications— for example, a specification of a life insurance policy is that it",
sbdc-tx rd 3.2.08-p004-c02,Texas Roadmap to Starting a Business (SBDC),,4,4,"from the service you will provide? Customers: Describe your typical customer in terms such as age, sex, income, education, occupation, marital status and lifestyle. What needs will your product or service satisfy? What benefits will your customers gain from using your product or service? What results will your customers achieve from having purchased your product or service? Remember, customers buy based on benefits and results, not product specifications— for example, a specification of a life insurance policy is that it is term or whole life. A benefit is that it pays a sum of money upon your death, but you purchase life insurance for the results— peace of mind that your survivors will be taken care of financially. Competitive Edge: Define your product’s or service’s unique qualities. What stands out about your product or service to entice buyers to buy from you? Is it quality, price, convenience or expertise that makes your product or service preferred by consumers? Personal and Business Objectives Defining your short- and long-term business and personal goals establishes the criteria for judging the feasibility of your idea. Ultimately, your decision to start a business should be based on whether it can achieve your business and personal goals. Personal Goals: List the goals that satisfy your personal needs. Why are you starting this business? What motivates you? What do you want to accomplish? Are you more interested in a lifestyle change than in monetary reward? A person starting a part-time business may have different personal goals than someone who views the business venture as a primary income source. Business Objectives: Where do you want your business to be in the next few years? What are your financial objectives? State these goals in such terms as annual sales volume, market share, growth rate, personal income, etc. Now review the two lists and describe in 25 words or less how your business will satisfy your3",
sbdc-tx rd 3.2.08-p004-c03,Texas Roadmap to Starting a Business (SBDC),,4,4,"objectives? State these goals in such terms as annual sales volume, market share, growth rate, personal income, etc. Now review the two lists and describe in 25 words or less how your business will satisfy your3",
sbdc-tx rd 3.2.08-p005-c01,Texas Roadmap to Starting a Business (SBDC),,5,5,"business and personal goals. This becomes your mission statement. Do your personal and business objectives match? Is there a good fit with your business idea? If not, you may need to re-evaluate your venture. Otherwise, you’re ready to start your market analysis. Market Analysis: Is Your Idea a Market Opportunity? Begin your market analysis by examining trends in your industry and collecting information about the size of your market segment and target market. Your research can help you identify and learn about your primary customers and major competitors. Analysis of the information you gather will reveal marketing strategies for successfully selling your product or service. Your business will exist in a world constantly reshaped by changing social and cultural values, economic conditions, political and legal restric- tions, competitive strategies and advances in technology. You must keep alert to these trends and determine how they influence your business. Your research will also lend a more complete understanding of established business practices, competitive developments and industry perfor- mance standards. Here are some questions to consider as you conduct your industry analysis. What is your industry, type of business and general product or service category? Is your industry growing? Maturing? Declining? Stable? What are the current trends and outlook for your industry? Does your industry have any special characteris- tics? Is it seasonal? Is it cyclical? Who are the key players in the industry? Where are you positioned in the distribution channel? For example, are you a manufacturer selling to a wholesaler, to a retailer, or to the end user? Who holds the power in the distribution chan- nel? Identify and evaluate how significant changes in the following conditions could affect your business: Social or lifestyle changes Economic changes Political and/or legal changes Technological changes Population (demographic) changes Any other change in the business environment Conducting Your Research You can gather your information from existing data (secondary sources) or from new data (primary research). To access secondary sources, start at your local library. Many public and private organizations collect and publish data on population and indus- tries, which is often available at public or college libraries. For example, trade associations maintain industry statistics",
sbdc-tx rd 3.2.08-p005-c02,Texas Roadmap to Starting a Business (SBDC),,5,5,"Social or lifestyle changes Economic changes Political and/or legal changes Technological changes Population (demographic) changes Any other change in the business environment Conducting Your Research You can gather your information from existing data (secondary sources) or from new data (primary research). To access secondary sources, start at your local library. Many public and private organizations collect and publish data on population and indus- tries, which is often available at public or college libraries. For example, trade associations maintain industry statistics and projections. Federal, state, county and city governments also gather data. Just about every regulated industry has an agency that collects data on it. Don’t forget that the Internet is also a good source. Another resource is real estate agents—they can supply information for specific locations in terms of competitors, suppliers, demographics, zoning regulations, local economic outlook, rental space and costs. Banking and financial offices can some- times provide relevant financial data about your industry. Additionally, local radio and television stations can provide valuable information about the average customer, purchasing patterns and use of media. 4",
sbdc-tx rd 3.2.08-p006-c01,Texas Roadmap to Starting a Business (SBDC),,6,6,"Be inquisitive. Investigate any resource that might offer pertinent information. You’d be sur- prised at the information you can gather by talking with former employees of competitors, consulting Secondary Research Sources Libraries Public Colleges/Universities Trade Associations Industry information, statistics, projection Trade publications Trade shows Chambers of Commerce and Area Economic Development Organizations Associations Businesses Resources Federal Departments and Agencies Small Business Administration Service Corps of Retired Executives Congressional offices Regulatory agencies: FDA, OSHA, EPA, etc. State Departments and Agencies Texas Department of Economic Development Congressional offices State Comptroller’s office State regulatory agencies: Texas Railroad Commission, Texas Employment Commission, Texas Education Agency, etc. City and County Government City, county and regional planning commissions Regional information and communication exchanges County Clerk’s office Banks and Financial Institutions Realtors Local and Regional Utility Commissions Small Business Development Centers Local radio and television stations and newspapers Sources of Business and Marketing Information Books on How to Conduct Research Competitor Intelligence—How to Get It, How to Use It by Leonard M. Fuld. Deals with ways to gather information on competition. Covers sec- ondary sources, corporate intelligence, statistical sources, trade and business magazines and data- bases. Also includes a section on gaining access to foreign intelligence from U.S. sources and provides listings of many directories and source books. Published by John Wiley & Sons, 1994 How You Can Buy a Business Without Overpaying by Eugene Merfield and Gary Schine. Published by Consultant Press, 1991 Your Texas Business by Richard Alderman and Tom Oldham. Published by Gulf Publishing, 1993. The Start-up Guide by David Bangs. Published by Upstart Publishing, 1998 Starting and Operating a Business in Texas by Michael Jenkins and Donald Sexton. Published by Oasis Press, 1991 Demographic Know-How edited by Penelope Wickham. Covers how to find, analyze and use demographic information. Details approximately 600 resources. Authorities in the market research field discuss how demographic information can impact a business’ bottom line. Published by American Demographics, 1988. firms, market research firms and labor unions. You can also gain insight by inspecting public filings, classified ads and buyers guides. 5",
sbdc-tx rd 3.2.08-p006-c02,Texas Roadmap to Starting a Business (SBDC),,6,6,"Demographic Know-How edited by Penelope Wickham. Covers how to find, analyze and use demographic information. Details approximately 600 resources. Authorities in the market research field discuss how demographic information can impact a business’ bottom line. Published by American Demographics, 1988. firms, market research firms and labor unions. You can also gain insight by inspecting public filings, classified ads and buyers guides. 5",
